run:
lcyo
burb
elar
bfts

aft		Points:1		[(2,2), (3,1), (3,2)]
alb		Points:1		[(2,2), (2,1), (3,0)]
ale		Points:1		[(2,2), (2,1), (2,0)]
arbor		Points:3		[(2,2), (2,3), (1,3), (0,3), (1,2)]
arc		Points:1		[(2,2), (1,2), (0,1)]
art		Points:1		[(2,2), (2,3), (3,2)]
arts		Points:2		[(2,2), (2,3), (3,2), (3,3)]
bale		Points:2		[(1,3), (2,2), (2,1), (2,0)]
bar		Points:1		[(1,3), (2,2), (2,3)]
bars		Points:2		[(1,3), (2,2), (2,3), (3,3)]
bast		Points:2		[(1,3), (2,2), (3,3), (3,2)]
bat		Points:1		[(1,3), (2,2), (3,2)]
bats		Points:2		[(1,3), (2,2), (3,2), (3,3)]
bauble		Points:4		[(1,3), (2,2), (1,1), (1,0), (2,1), (2,0)]
belabor		Points:6		[(3,0), (2,0), (2,1), (2,2), (1,3), (0,3), (1,2)]
belt		Points:2		[(3,0), (2,0), (2,1), (3,2)]
belts		Points:3		[(3,0), (2,0), (2,1), (3,2), (3,3)]
blab		Points:2		[(3,0), (2,1), (2,2), (1,3)]
blast		Points:3		[(3,0), (2,1), (2,2), (3,3), (3,2)]
blue		Points:2		[(3,0), (2,1), (1,1), (2,0)]
blur		Points:2		[(3,0), (2,1), (1,1), (1,2)]
blurb		Points:3		[(3,0), (2,1), (1,1), (1,2), (1,3)]
boy		Points:1		[(1,3), (0,3), (0,2)]
bra		Points:1		[(1,3), (2,3), (2,2)]
brat		Points:2		[(1,3), (2,3), (2,2), (3,2)]
brats		Points:3		[(1,3), (2,3), (2,2), (3,2), (3,3)]
bulb		Points:2		[(1,0), (1,1), (2,1), (3,0)]
burl		Points:2		[(1,0), (1,1), (1,2), (2,1)]
burr		Points:2		[(1,0), (1,1), (1,2), (2,3)]
burrs		Points:3		[(1,0), (1,1), (1,2), (2,3), (3,3)]
bury		Points:2		[(1,0), (1,1), (1,2), (0,2)]
buy		Points:1		[(1,0), (1,1), (0,2)]
club		Points:2		[(0,1), (0,0), (1,1), (1,0)]
clue		Points:2		[(0,1), (0,0), (1,1), (2,0)]
crab		Points:2		[(0,1), (1,2), (2,2), (1,3)]
craft		Points:3		[(0,1), (1,2), (2,2), (3,1), (3,2)]
crafts		Points:4		[(0,1), (1,2), (2,2), (3,1), (3,2), (3,3)]
cruel		Points:3		[(0,1), (1,2), (1,1), (2,0), (2,1)]
cry		Points:1		[(0,1), (1,2), (0,2)]
cub		Points:1		[(0,1), (1,1), (1,0)]
cube		Points:2		[(0,1), (1,1), (1,0), (2,0)]
cue		Points:1		[(0,1), (1,1), (2,0)]
cult		Points:2		[(0,1), (1,1), (2,1), (3,2)]
cults		Points:3		[(0,1), (1,1), (2,1), (3,2), (3,3)]
cur		Points:1		[(0,1), (1,1), (1,2)]
curb		Points:2		[(0,1), (1,1), (1,2), (1,3)]
curl		Points:2		[(0,1), (1,1), (1,2), (2,1)]
eft		Points:1		[(2,0), (3,1), (3,2)]
efts		Points:2		[(2,0), (3,1), (3,2), (3,3)]
elf		Points:1		[(2,0), (2,1), (3,1)]
far		Points:1		[(3,1), (2,2), (2,3)]
fast		Points:2		[(3,1), (2,2), (3,3), (3,2)]
fat		Points:1		[(3,1), (2,2), (3,2)]
fats		Points:2		[(3,1), (2,2), (3,2), (3,3)]
fault		Points:3		[(3,1), (2,2), (1,1), (2,1), (3,2)]
faults		Points:4		[(3,1), (2,2), (1,1), (2,1), (3,2), (3,3)]
felt		Points:2		[(3,1), (2,0), (2,1), (3,2)]
felts		Points:3		[(3,1), (2,0), (2,1), (3,2), (3,3)]
flab		Points:2		[(3,1), (2,1), (2,2), (1,3)]
flat		Points:2		[(3,1), (2,1), (2,2), (3,2)]
flats		Points:3		[(3,1), (2,1), (2,2), (3,2), (3,3)]
flu		Points:1		[(3,1), (2,1), (1,1)]
flub		Points:2		[(3,1), (2,1), (1,1), (1,0)]
flue		Points:2		[(3,1), (2,1), (1,1), (2,0)]
lab		Points:1		[(2,1), (2,2), (1,3)]
labor		Points:3		[(2,1), (2,2), (1,3), (0,3), (1,2)]
last		Points:2		[(2,1), (2,2), (3,3), (3,2)]
left		Points:2		[(2,1), (2,0), (3,1), (3,2)]
lube		Points:2		[(2,1), (1,1), (1,0), (2,0)]
ora		Points:1		[(0,3), (1,2), (2,2)]
oral		Points:2		[(0,3), (1,2), (2,2), (2,1)]
orb		Points:1		[(0,3), (1,2), (1,3)]
raft		Points:2		[(2,3), (2,2), (3,1), (3,2)]
rafts		Points:3		[(2,3), (2,2), (3,1), (3,2), (3,3)]
rat		Points:1		[(2,3), (2,2), (3,2)]
rats		Points:2		[(2,3), (2,2), (3,2), (3,3)]
rob		Points:1		[(1,2), (0,3), (1,3)]
rub		Points:1		[(1,2), (1,1), (1,0)]
rube		Points:2		[(1,2), (1,1), (1,0), (2,0)]
rue		Points:1		[(1,2), (1,1), (2,0)]
rule		Points:2		[(1,2), (1,1), (2,1), (2,0)]
safe		Points:2		[(3,3), (2,2), (3,1), (2,0)]
